bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b0011,5.2558799026396605e-12,3.913909845688672e-12,1.4989677547801386e-12,3.0849205748603443e-12,1.2128127373629919e-12,3.3134196028266296e-12,3.756442107709443e-12,3.7160318089746395e-12,1.928718296395774e-12,3.7338153997676504e-12,1.9590818476981882e-12,5.103676165786187e-12,1.9101210732438917e-12,3.5446997773646326e-12,1.3561957119868059e-12,2.443713211054206e-12,2.7841613816203365e-12,2.3711800479122535e-12
b0013,7.214548018172317e-12,4.144481762340628e-12,5.290910936426925e-12,5.0555390396712396e-12,4.280868721484223e-12,7.309616883710976e-12,9.470803475236326e-12,4.372162837952011e-12,6.321531078250505e-12,7.060317485946786e-12,5.378315457569669e-12,9.416650027309596e-12,1.6855400064639786e-12,8.661971999752036e-12,6.582081045242895e-12,7.057294183319009e-12,4.094692791038161e-12,4.184780629112467e-12
b0014,1.6503176387265308e-09,1.7061219191961971e-09,1.6982526231118258e-09,1.7016488134377735e-09,1.8776554536525067e-09,2.3276353344380197e-09,1.7838980024786841e-09,1.5946505544127276e-09,1.592034000040397e-09,1.5377381310860417e-09,1.633031733087542e-09,1.7226862467814522e-09,1.6661439803353156e-09,1.716335292734444e-09,1.7798814097227925e-09,1.7240972963935182e-09,1.7708135832074028e-09,2.044782246550158e-09
b0015,2.433810900461615e-10,2.6276258885437955e-10,2.5655065264086045e-10,2.531844236120828e-10,2.8850024479284036e-10,4.1526127576987273e-10,2.6851152663437277e-10,2.6143599185626495e-10,2.7399211188879573e-10,2.340793071193274e-10,2.811505906210256e-10,3.0885452671334325e-10,2.4345760857966793e-10,2.5961897551823167e-10,2.98968393993056e-10,2.6058416884283063e-10,2.2046985545969923e-10,3.3139759236881266e-10
b0018,1.992260696747516e-11,1.2017014105159908e-11,1.2784258482754053e-11,7.517253485561947e-12,2.7583268955017965e-12,7.064797179471851e-12,2.3799358780833103e-11,1.0564316905099356e-11,5.6398201448948196e-12,1.0008309699377199e-11,5.940777702961438e-12,8.705552885659213e-12,9.774519080547092e-12,1.9534335578388166e-11,9.253277920063087e-12,2.0462776435843636e-11,9.498119928685646e-12,1.0785654699594494e-11
b0019,1.6141070626101573e-10,1.5413017252697757e-10,1.514693417782152e-10,1.507776663740873e-10,1.4041445215214805e-10,1.6057084306399607e-10,1.168206551477178e-10,1.3785436927484366e-10,1.1827660549152057e-10,1.4596166932925323e-10,1.5467038929950784e-10,2.1023238263669997e-10,1.45419024434177e-10,1.4089117597080954e-10,1.2315152665782076e-10,1.2565803489166733e-10,1.665605842211179e-10,2.3223498721685832e-10
b0020,9.132809214985174e-11,1.0237404232398228e-10,8.68001709095365e-11,7.777408600664487e-11,5.828603799572221e-11,5.2861856995040424e-11,9.681777395745458e-11,7.563117041783284e-11,6.946430410507651e-11,5.5261352008605377e-11,6.276710629976965e-11,7.749384977554766e-11,8.577815529028176e-11,8.635810611023504e-11,7.706357349545357e-11,8.348662047139594e-11,7.530977079367068e-11,7.877252258984227e-11
b0023,2.0051270647833553e-09,2.604930229103094e-09,2.4605954659517626e-09,2.0872411744553875e-09,2.0955313575241102e-09,3.3438356609107523e-09,2.222981230001934e-09,1.9560857046677693e-09,1.656037758933745e-09,2.0700457137529333e-09,2.104384970223832e-09,2.6804496637829347e-09,3.008644049256661e-09,2.836362182397892e-09,2.096628293514142e-09,2.382580679941031e-09,2.188901326530939e-09,2.717041752137772e-09
b0024,2.253813454274644e-10,2.675408731536646e-10,2.684166490890531e-10,2.3062106106164355e-10,1.956893750726183e-10,3.3323805705079425e-10,3.2645598914823786e-10,2.795376405292437e-10,1.8744209582482232e-10,2.3813349729664923e-10,2.2354901234779092e-10,3.3005226880721744e-10,2.655112101925368e-10,4.343082739569862e-10,2.916427336193278e-10,3.6910871555324336e-10,2.777328691991131e-10,3.115038082361669e-10
b0025,3.1527366737982414e-10,3.342216971745991e-10,3.1915269561473446e-10,2.955215283649236e-10,2.79055623048165e-10,2.67691997186972e-10,3.557841688093562e-10,3.51018233880551e-10,3.269357588563948e-10,3.265623177573619e-10,3.0925109754888593e-10,3.383693908533323e-10,3.495247529663433e-10,3.658933979378077e-10,3.48868736162081e-10,3.417067012412083e-10,2.9744962399408853e-10,2.991428839509875e-10
b0026,6.330758565990833e-10,6.552402118068702e-10,6.648463611658185e-10,6.754751449391684e-10,4.962402480438701e-10,4.693895401023469e-10,5.833059788690546e-10,5.885232387124373e-10,7.016802795115168e-10,6.264540811581404e-10,6.157407233653412e-10,5.547193137752651e-10,5.17973147838679e-10,5.052946874751185e-10,6.013071868313261e-10,5.566396233467975e-10,4.871125646238823e-10,5.312303589857404e-10
b0027,3.291444547261137e-10,3.152155238353483e-10,3.0180684064286296e-10,3.1612942158128584e-10,2.1122418649784912e-10,2.0922668569974328e-10,2.4088049227582854e-10,2.4761133546029033e-10,3.2609729299327735e-10,3.144918855535066e-10,2.676777338084356e-10,2.5480483638410237e-10,2.6190698561978745e-10,2.2274866906784748e-10,2.427205977493471e-10,2.404813470024359e-10,2.3641794668645107e-10,2.8804957623195873e-10
b0028,2.2071053803477717e-10,2.0572259806504757e-10,2.1065838487862835e-10,2.1624576719424323e-10,2.0350493519786251e-10,1.861298702780497e-10,2.1474466819751892e-10,2.2915391551341797e-10,2.3801967007942144e-10,2.42250133213433e-10,2.364336907863462e-10,2.306099020535205e-10,2.0474243196557992e-10,2.091348577401156e-10,1.9705463285559736e-10,2.1307754237030086e-10,2.1442693242120723e-10,2.372183442587317e-10
b0029,1.6414235880502783e-10,1.6449957086174448e-10,1.6256463086670054e-10,1.7712152662681058e-10,1.5656263458868196e-10,1.6008830408683214e-10,1.663392106789612e-10,1.7338156904649062e-10,1.7060455938306828e-10,1.941612081679177e-10,1.7872829719359488e-10,2.0144649377415422e-10,1.5984596869721342e-10,1.6248846375394499e-10,1.6781976167774416e-10,1.5739664482207432e-10,1.6020162279716455e-10,1.806327520814588e-10
b0030,1.95891103738183e-11,1.2518088240592665e-11,1.2570255031128081e-11,8.59467165471798e-12,8.514900804877811e-12,1.033902922019863e-11,1.1302792593859722e-11,9.662766884751707e-12,1.246642957629741e-11,9.986409678153179e-12,8.150695010408801e-12,5.4290647098750015e-12,1.1920492999762752e-11,1.3187762864684478e-11,1.0976245355534353e-11,9.35825005490442e-12,1.4117282191596773e-11,1.1714943876392159e-11
b0031,1.6077131296177002e-10,1.3222293460056917e-10,1.2724930803315207e-10,1.1673260010649118e-10,1.5026666105750711e-10,1.4675502681800822e-10,2.0133013263411031e-10,2.4526715184496684e-10,1.6391085080062258e-10,1.537939527007829e-10,1.5898364130204462e-10,1.216868756587395e-10,2.0155034532835772e-10,1.7144350805518146e-10,1.5119909657400283e-10,1.3254417959073114e-10,1.9988085754918166e-10,1.5238514212904545e-10
b0032,2.709387776640352e-10,3.218447614327748e-10,4.1056178400590883e-10,3.548674043732564e-10,7.258856787775261e-10,1.7646484857310056e-09,3.236275845365511e-10,4.34279927046019e-10,3.9170958146600266e-10,4.462415856030673e-10,2.8782822163408373e-10,3.4233752567090553e-10,3.2564985302585766e-10,3.5614185804555397e-10,5.030673909805554e-10,4.1420551896451614e-10,2.539023409333565e-10,2.290037357858044e-10
b0033,2.0373138694116234e-10,2.1139730632541125e-10,2.2596345552212374e-10,2.899302681185863e-10,6.062007816729271e-10,1.046736230002378e-09,2.0384250544725975e-10,2.2045148158525618e-10,2.7976817220160404e-10,3.2440781563597534e-10,3.062617534820237e-10,2.0679539520038604e-10,2.1923427961132284e-10,2.0268219666024362e-10,2.5731513660073287e-10,2.973694332732785e-10,3.0866432425806565e-10,1.6630074833286203e-10
b0034,3.562969117459191e-10,3.1509253243273575e-10,2.1713496641759155e-10,1.161425179030062e-10,4.8162482527280733e-11,3.738082558252195e-11,4.4074002400454214e-10,2.8395814036663515e-10,1.7506763224456624e-10,1.1072484401589457e-10,4.125644515553441e-11,3.3918597192479825e-11,3.344452748015716e-10,4.218027062630307e-10,2.478619333999177e-10,1.668181560654467e-10,6.44950396676532e-11,2.8534200407787962e-11
