	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b0001	178	190	287	300	254	190	315	225	286
b0002	364	368	1016	292	965	664	794	135	1372
b0003	86	92	251	75	170	155	151	28	281
b0004	151	158	522	174	387	319	370	68	562
b0005	5	7	1	0	3	7	2	2	7
b0006	41	35	38	54	56	67	47	29	42
b0007	9	15	9	11	9	6	12	12	9
b0008	810	741	930	757	926	687	651	440	896
b0009	21	26	21	17	29	16	20	14	25
b0010	11	16	11	17	13	10	13	7	12
b0011	1	4	2	4	2	4	1	0	0
b0013	3	4	1	1	3	3	3	0	4
b0014	293	615	522	349	1000	704	1128	453	876
b0015	33	49	69	32	82	75	61	26	81
b0016	18	27	33	45	32	49	36	22	29
b0018	1	1	2	0	0	0	2	1	0
b0019	54	50	52	49	64	64	82	31	56
b0020	29	33	34	30	31	36	46	23	31
b0021	19	22	32	38	40	23	36	21	26
b0022	0	0	1	3	0	1	1	0	0
b0023	357	365	364	445	435	361	557	310	496
b0024	1	1	3	5	3	5	1	7	2
b0025	100	124	129	146	191	163	140	80	184
b0026	293	314	410	467	493	488	318	253	476
b0027	19	39	35	32	44	33	22	17	48
b0028	14	32	33	24	14	33	15	20	28
b0029	37	34	38	45	48	48	37	31	47
b0030	2	5	3	2	6	1	0	2	1
b0031	827	357	502	125	97	91	81	228	66
b0032	84	129	64	12	96	75	19	62	91
b0033	132	197	144	33	111	77	27	105	155
b0034	1	5	3	2	6	2	2	5	0
b0035	6	1	4	0	5	0	2	2	0
b0036	0	5	0	1	0	1	1	0	0
b0037	6	8	5	3	3	5	7	1	4
b0038	3	6	1	1	3	3	7	4	2
b0039	6	4	5	3	2	2	1	0	1
b0040	1	2	0	2	1	1	3	5	1
b0041	3	0	0	1	1	1	0	1	0
b0042	0	2	0	1	0	2	1	1	1
b0043	0	0	1	0	2	1	1	4	0
b0044	0	0	0	0	1	1	0	0	0
b0045	1	5	0	1	2	0	2	1	0
b0046	5	11	5	8	3	7	5	6	5
b0047	22	22	20	21	18	14	21	18	13
b0048	22	19	25	18	20	22	9	16	20
b0049	23	26	31	29	27	16	19	19	23
b0050	32	29	36	50	39	35	27	29	32
b0051	75	85	120	101	120	83	86	62	101
b0052	28	44	37	37	49	50	24	27	40
b0053	223	233	301	235	265	238	185	142	313
b0054	550	637	656	786	703	634	653	468	678
b0055	24	14	22	22	25	29	39	11	28
b0058	16	16	19	12	27	16	7	10	20
b0059	43	55	49	47	63	55	34	40	66
b0060	35	29	30	15	16	16	16	9	11
b0061	1	4	1	0	2	1	1	0	1
b0062	0	0	0	0	0	0	0	0	0
b0063	0	0	0	0	0	0	0	0	1
b0064	7	13	17	15	19	21	8	13	13
b0065	6	17	2	10	9	10	7	5	4
b0066	5	7	8	3	5	1	2	2	3
b0067	3	10	5	3	11	2	9	6	5
b0068	31	36	38	36	37	46	19	27	40
b0069	6	16	13	8	9	9	8	9	16
b0070	16	24	18	39	26	27	42	20	19
b0071	575	539	424	1852	602	1031	1153	484	509
b0072	496	615	477	1308	529	891	786	517	626
b0073	471	568	442	1320	573	878	782	517	544
b0074	1155	1347	1012	3448	1512	2177	2356	1190	1244
b0075	138	151	133	300	149	127	277	209	187
b0076	5	10	8	8	8	10	9	7	6
b0077	213	227	311	252	338	276	178	126	303
b0078	75	55	102	88	112	79	63	44	78
b0080	68	53	63	92	89	90	58	54	73
b0081	46	79	64	54	82	79	56	25	64
b0082	74	84	105	87	92	72	57	58	116
b0083	20	32	21	29	25	21	16	19	33
b0084	129	101	107	80	91	74	77	82	109
b0085	73	75	76	36	64	54	41	34	73
b0086	64	83	76	45	62	53	24	44	73
b0087	64	47	69	37	36	48	41	31	47
b0088	85	112	99	72	91	68	50	54	105
b0089	43	48	52	50	64	57	29	33	46
b0090	38	41	50	48	50	31	21	28	60
b0091	102	119	123	100	136	88	61	72	137
b0092	84	100	94	92	94	81	68	65	84
b0093	74	69	84	56	76	59	46	46	84
b0094	145	158	201	130	184	131	128	99	137
b0095	606	650	759	688	720	635	528	452	646
b0096	729	689	714	830	779	662	717	494	804
b0097	47	53	49	49	47	43	50	49	56
b0098	356	311	408	322	397	260	312	279	359
b0099	2	3	5	6	1	7	3	5	2
b0101	17	20	14	16	15	17	11	11	11
b0102	40	50	50	51	39	47	36	29	37
b0103	40	28	34	35	42	30	40	32	37
b0104	177	257	284	265	311	277	209	135	222
b0106	4	6	3	6	8	9	8	3	3
b0107	6	11	6	7	9	8	14	4	6
b0108	0	1	2	0	1	1	2	0	0
b0109	37	49	52	81	61	81	72	46	62
b0110	28	17	16	11	19	14	7	9	23
b0111	29	26	37	32	37	42	26	14	23
b0112	204	257	361	808	696	704	635	235	543
b0113	59	94	76	30	81	96	57	44	93
b0114	1293	1831	1662	968	3040	2267	2206	1300	3262
b0115	480	615	570	310	819	698	570	490	1131
b0116	714	722	947	680	976	818	779	564	1137
b0117	5	6	7	6	5	8	11	3	2
b0118	353	356	400	389	326	343	339	328	445
b0119	17	26	29	12	30	15	36	15	24
b0120	113	125	174	134	199	157	160	70	170
b0121	128	163	161	222	233	191	169	121	189
b0122	24	23	17	38	26	17	52	22	22
b0123	114	114	139	141	33	27	48	53	27
b0124	226	231	255	231	220	234	184	189	304
b0125	60	54	52	52	74	67	81	30	77
b0126	928	990	876	1110	1247	1030	1415	878	1100
b0127	39	33	51	77	75	79	54	34	54
b0128	28	20	29	33	46	48	43	15	35
b0129	4	5	6	7	8	8	6	7	7
b0130	35	26	35	41	35	40	35	22	39
b0131	176	208	227	418	358	359	388	166	264
b0132	7	9	6	9	6	4	5	3	7
b0133	154	145	185	143	157	145	122	109	188
b0134	78	77	113	66	109	95	90	62	113
b0135	4	5	5	8	6	6	4	5	4
b0136	0	4	1	3	5	1	1	1	2
b0137	1	4	2	1	2	2	5	4	2
b0138	1	4	1	3	5	3	2	2	4
b0139	9	11	5	7	7	5	5	8	5
b0140	1	4	2	0	2	2	6	4	0
b0141	0	0	0	0	1	0	0	1	1
b0142	3	6	9	6	2	3	6	4	10
b0143	75	91	124	69	112	89	67	63	118
b0144	16	34	24	21	25	17	19	15	22
b0145	305	289	403	304	376	257	257	201	321
b0146	72	71	77	67	62	53	70	37	49
b0147	10	7	9	9	9	15	8	11	6
b0148	15	19	22	19	14	21	19	10	31
b0149	73	87	67	85	93	84	76	64	76
b0150	446	639	646	748	775	774	923	424	689
b0151	29	29	43	26	39	19	29	20	46
b0152	20	16	23	23	20	19	20	13	26
b0153	16	11	10	9	12	13	11	7	11
b0154	107	79	106	81	94	83	49	55	105
b0155	33	44	37	51	37	42	33	33	36
b0156	87	74	93	134	133	135	207	91	128
b0157	5	11	10	6	12	8	9	4	10
b0158	4	12	6	7	4	9	9	3	11
b0159	155	156	166	162	145	162	200	130	189
b0160	56	55	54	59	79	59	51	42	71
b0161	127	163	202	80	175	105	81	72	167
b0162	9	5	3	5	8	8	10	5	3
b0163	195	140	173	313	181	209	208	124	166
b0164	2	5	8	2	6	5	2	3	6
b0166	826	576	790	695	874	702	391	400	537
b0167	120	123	132	92	90	98	72	88	91
b0168	203	239	261	245	324	277	331	168	321
b0169	1243	1247	1547	1455	1477	1310	1384	942	1646
b0170	785	839	1074	956	1020	741	937	642	1038
b0171	66	87	90	53	86	74	43	61	88
b0172	256	285	279	230	284	265	260	149	298
b0173	40	43	39	44	29	51	40	26	35
b0174	59	52	65	91	83	84	85	37	79
b0175	56	58	58	70	80	84	70	32	68
b0176	137	135	166	163	170	128	102	84	164
b0177	621	649	832	747	852	744	639	449	843
b0178	563	453	661	774	662	558	614	381	655
b0179	324	375	378	373	501	350	373	228	402
b0180	127	123	132	184	211	165	179	61	173
b0181	110	109	142	162	198	144	116	62	202
b0182	38	67	60	52	72	51	49	35	62
b0183	11	11	18	15	13	15	10	4	18
b0184	113	112	140	125	127	109	93	69	156
b0185	114	127	168	133	182	140	150	94	173
b0186	107	123	111	87	102	68	77	78	69
b0187	24	19	18	28	18	25	32	14	21
b0188	11	17	19	17	21	24	15	12	18
b0189	30	23	20	28	22	21	22	13	22
b0190	23	20	29	14	20	18	24	11	21
b0191	9	13	10	17	13	20	11	18	11
b0192	36	36	40	46	34	33	36	33	29
b0193	2	12	5	4	4	9	9	2	5
b0194	220	273	358	277	338	277	258	179	374
b0195	6	10	16	7	20	11	8	10	10
b0196	43	33	43	37	46	44	41	34	45
b0197	1026	1164	770	1279	1569	1402	2644	1101	1280
b0198	147	179	129	217	279	241	460	160	224
b0199	147	214	109	246	277	275	468	244	250
b0200	43	36	45	58	52	52	63	35	59
b0201	22	194	40	51	19	20	15	33	61
b0202	15	9	15	5	11	9	15	12	13
b0203	3	2	7	3	2	1	3	5	1
b0204	51	363	53	119	58	38	18	79	105
b0205	3	7	6	17	2	1	0	0	2
b0206	4	10	4	2	7	4	4	11	2
b0207	23	26	42	16	41	26	46	26	38
b0208	21	31	20	12	38	19	22	28	23
b0209	111	112	120	190	139	157	123	95	105
b0210	4	9	7	22	14	13	16	13	7
b0211	183	219	247	229	398	216	175	101	344
b0212	43	36	40	48	62	52	70	19	44
b0213	32	35	22	42	47	49	45	31	25
b0214	24	20	21	27	41	28	22	14	29
b0215	92	73	93	116	105	104	108	64	95
b0216	3	1	4	3	3	1	0	4	1
b0217	1	2	1	1	0	0	6	2	1
b0218	0	0	0	0	0	0	0	0	0
b0219	38	28	29	33	31	29	41	18	26
b0220	215	201	159	108	123	88	110	170	110
b0221	140	64	91	176	58	83	47	120	57
b0222	102	89	130	131	132	135	104	71	115
b0223	53	61	63	98	79	95	92	49	57
b0224	99	144	162	378	311	332	299	108	199
b0225	14	18	21	16	17	17	18	20	16
b0226	49	66	46	87	54	51	130	75	73
b0227	5	5	3	5	7	7	3	4	2
b0228	6	6	5	10	7	16	7	3	3
b0229	2	3	3	6	5	5	5	3	1
b0230	3	1	1	4	3	2	3	2	1
b0231	10	21	11	8	14	7	13	6	12
b0232	7	7	4	5	9	10	10	9	12
b0233	0	3	8	4	3	3	6	1	4
b0234	2	7	3	2	1	2	0	1	4
b0235	0	0	0	0	0	1	1	0	1
b0236	2	4	6	6	7	4	6	2	3
b0237	434	465	477	604	735	547	668	392	637
b0238	50	54	52	52	67	58	44	43	69
b0239	49	57	62	43	60	54	57	38	70
b0240	335	292	361	890	411	533	497	223	364
b0241	9	10	13	20	12	19	13	7	12
b0242	63	90	94	107	92	109	39	56	110
b0243	126	118	128	151	185	150	105	72	117
b0244	1	8	3	1	2	0	1	2	3
b0245	2	0	3	2	4	2	4	2	2
b0246	0	1	1	0	0	1	0	0	0
b0247	1	0	1	0	2	0	0	0	1
b0248	4	2	5	2	5	7	6	3	2
b0249	3	1	1	1	2	1	0	3	1
b0250	12	17	14	28	23	18	16	21	18
b0251	3	2	4	8	3	4	1	2	3
b0252	2	7	1	3	2	3	2	7	2
b0253	7	5	11	6	10	3	10	9	4
b0254	8	12	9	6	15	11	14	7	5
b0256	30	33	27	34	37	33	49	24	34
b0258	8	7	7	6	11	6	13	2	8
b0259	3	7	6	15	3	4	5	6	6
b0260	17	31	13	25	20	22	75	44	17
b0261	6	10	6	5	14	6	13	21	10
b0262	3	4	0	3	0	2	1	2	1
b0263	0	3	1	0	1	1	1	1	0
b0264	7	8	9	13	8	9	7	7	5
b0265	1	4	1	2	0	0	0	1	1
b0266	9	7	12	17	27	13	12	10	17
b0267	1	1	0	2	0	2	0	1	0
b0268	0	2	1	2	0	0	3	1	1
b0269	1	3	1	0	0	0	4	2	0
b0270	2	4	0	2	0	1	0	1	0
b0271	0	3	1	1	1	1	2	3	0
b0272	3	6	10	6	5	5	1	2	4
b0273	63	43	22	10	8	7	10	28	10
b0274	8	13	6	10	3	4	9	5	8
b0275	1	4	0	0	1	1	2	0	1
b0276	5	10	10	10	11	12	12	7	13
b0277	7	4	4	13	7	7	13	10	8
b0278	4	2	0	1	5	1	3	0	2
b0279	0	1	1	2	1	2	4	0	4
b0280	50	62	67	96	86	94	117	59	68
b0281	39	83	77	58	107	83	85	37	64
b0283	1	8	2	1	1	1	6	2	0
b0284	4	6	5	1	3	2	1	6	4
b0285	1	2	2	0	1	1	2	1	0
b0286	6	5	2	8	2	1	5	2	4
b0287	383	344	319	710	550	679	405	239	327
b0288	8	9	9	8	10	15	12	6	4
b0289	5	5	6	9	4	4	3	2	7
b0290	11	11	12	9	14	10	17	8	10
b0291	6	11	8	4	5	5	9	8	5
b0292	0	4	0	1	2	1	1	1	1
b0293	14	13	10	16	10	12	10	10	4
b0294	1	2	0	3	0	1	1	2	1
b0295	297	315	335	340	5	1	2	247	1
b0296	2900	2664	2924	3527	6	2	11	2157	6
b0297	2	6	1	0	0	1	2	0	0
b0298	4	5	0	3	1	2	2	2	3
b0299	2	2	6	4	5	9	6	1	3
b0300	10	12	3	24	12	16	27	15	12
b0301	5	2	2	2	2	4	7	0	3
b0303	2	1	1	0	3	1	3	0	2
b0304	29	65	50	28	48	34	46	48	38
b0305	2	5	3	2	3	4	7	2	6
b0306	2	2	1	4	4	4	4	5	3
b0307	18	17	12	15	16	18	18	8	15
b0308	2	3	4	2	6	2	2	2	4
b0310	0	1	1	0	1	0	0	0	0
b0311	6	14	9	2	7	10	6	2	17
b0312	11	27	31	6	14	13	12	10	23
b0313	14	25	19	7	18	7	5	6	7
b0314	16	39	25	24	19	23	15	15	23
b0315	25	23	19	12	18	14	10	6	9
b0316	10	12	5	7	16	11	11	6	9
b0317	1	1	0	1	1	0	4	0	0
b0318	3	3	2	7	2	6	7	2	7
b0319	2	3	0	0	0	1	4	1	0
b0320	1	1	2	1	3	0	1	0	1
b0321	1	3	1	2	2	0	0	1	4
b0323	0	1	1	2	0	2	1	2	0
b0324	16	25	14	18	14	14	18	9	13
b0325	122	150	154	86	137	113	83	100	153
b0326	1	1	0	2	0	1	0	1	0
b0327	1	4	1	1	1	2	1	0	0
b0328	2	7	2	3	2	4	2	2	4
b0329	312	422	297	408	415	308	533	363	294
b0330	22	24	19	26	20	13	19	21	19
b0331	0	1	0	1	1	1	0	2	1
b0333	0	5	1	0	1	0	3	1	0
b0334	0	4	1	2	0	1	4	1	1
b0335	0	4	3	2	2	1	3	3	0
b0336	16	26	21	6	22	5	5	10	25
b0337	36	48	61	26	76	31	21	36	47
b0338	3	8	4	7	7	3	5	3	3
b0339	3	3	1	4	3	1	6	3	2
b0340	4	1	2	3	1	3	1	1	1
b0341	3	6	4	3	4	0	3	3	0
b0342	5	1	5	6	4	6	2	2	2
b0343	2	7	4	6	9	7	4	4	7
b0344	5	1	3	2	3	2	0	1	0
b0345	24	32	25	22	24	26	16	16	22
b0346	22	30	23	25	22	17	9	13	21
b0347	2	4	1	2	3	2	1	2	0
b0348	0	2	0	2	1	1	1	0	2
b0349	12	11	14	23	12	16	17	13	13
b0350	8	5	7	13	14	10	8	2	14
b0351	5	6	11	22	14	21	7	7	7
b0352	7	7	4	7	10	12	2	5	5
b0353	5	5	3	3	2	6	5	3	5
b0354	24	13	20	17	14	13	20	9	18
b0355	10	5	14	5	4	8	12	8	4
b0356	31	24	45	22	47	19	19	10	30
b0357	12	11	11	6	13	7	3	5	15
b0358	5	4	7	4	6	6	7	6	4
b0360	6	5	4	3	1	5	2	3	3
b0361	6	8	13	5	8	9	6	5	3
b0363	8	6	0	10	2	9	11	5	3
b0364	0	1	0	0	0	0	2	1	0
b0365	2	2	0	2	2	2	2	4	0
b0366	0	1	0	1	1	2	0	2	0
b0367	0	2	0	0	1	1	0	2	1
b0368	2	2	3	3	3	1	4	4	3
b0369	85	96	93	73	119	77	113	61	149
b0372	7	13	13	19	16	15	17	18	15
b0373	6	13	6	9	10	18	11	8	11
b0375	0	2	1	2	2	2	4	2	1
b0376	22	25	18	21	16	18	17	17	21
b0377	14	17	25	23	27	32	18	14	16
b0378	29	37	26	26	37	30	31	25	34
b0379	6	6	5	2	0	5	3	8	2
b0380	6	4	5	8	2	8	6	2	5
b0381	51	59	63	81	122	100	122	47	111
b0382	38	65	40	49	67	51	55	31	48
b0383	15	12	26	11	27	12	15	11	14
b0384	58	72	62	42	44	32	54	54	36
b0385	5	6	2	8	6	4	5	2	3
b0386	22	31	28	26	22	23	18	13	28
b0387	12	17	13	21	15	20	15	16	11
b0388	46	72	78	236	208	214	215	97	186
b0389	85	49	52	91	62	65	98	79	70
b0390	36	36	34	48	50	32	41	18	33
b0391	55	53	70	129	117	121	97	31	96
b0392	20	12	15	14	17	16	11	10	15
b0393	59	69	70	77	93	60	71	48	67
b0394	17	17	18	8	18	15	10	8	12
b0396	22	10	8	16	11	13	18	7	13
b0397	48	42	44	54	73	48	59	25	36
b0398	13	20	18	22	23	15	20	9	17
b0399	17	15	14	18	14	14	10	5	13
b0400	15	17	9	18	16	9	16	16	13
b0401	22	23	20	37	50	49	64	30	52
b0402	11	18	11	17	16	31	21	9	14
b0403	22	18	14	34	17	22	19	24	24
b0404	4	12	16	14	10	22	11	8	15
b0405	14	32	23	25	19	25	21	17	17
b0406	64	67	79	87	116	99	74	33	94
b0407	100	92	136	109	179	143	132	52	171
b0408	156	181	208	187	284	194	182	101	267
b0409	98	82	87	102	140	105	95	48	132
b0410	23	25	30	50	30	30	31	27	24
b0411	69	69	105	133	135	115	106	54	116
b0412	10	5	12	9	7	5	14	8	8
b0413	25	29	24	32	34	28	26	20	37
b0414	55	45	52	47	55	46	47	31	69
b0415	73	82	88	61	70	77	45	41	90
b0416	42	69	71	45	64	51	40	44	72
b0417	21	27	28	17	16	14	13	16	27
b0418	27	28	25	23	26	25	30	17	31
b0419	194	157	166	122	139	107	111	113	114
b0420	82	78	103	70	102	97	51	58	94
b0421	47	49	62	34	47	52	32	38	67
b0422	16	17	18	15	21	22	17	12	25
b0423	34	48	60	53	57	49	45	28	56
b0424	27	30	48	24	20	26	18	15	37
b0425	29	35	47	27	43	26	32	20	51
b0426	174	161	191	259	242	209	272	119	265
b0427	10	20	19	16	23	18	16	11	11
b0428	49	59	76	28	93	57	55	27	96
b0429	27	51	77	32	70	70	58	23	63
b0430	57	75	93	46	84	64	67	35	149
b0431	285	316	482	203	491	429	364	198	547
b0432	314	402	547	284	605	521	458	230	639
b0433	18	15	26	10	25	14	10	13	15
b0434	63	70	91	97	133	106	69	38	92
b0435	226	177	200	199	214	137	282	188	184
b0436	745	708	991	984	1217	925	892	538	1231
b0437	203	247	299	193	233	234	179	125	234
b0438	576	623	681	531	685	508	537	377	685
b0439	316	350	461	382	604	457	375	243	457
b0440	441	425	561	579	709	559	643	313	634
b0441	303	305	380	493	516	456	433	210	445
b0442	2	3	2	11	0	7	4	2	3
b0443	26	18	14	26	18	19	11	28	9
b0444	43	44	34	58	39	39	64	26	40
b0445	14	11	14	15	9	11	10	7	6
b0446	25	15	23	59	26	50	42	37	19
b0447	7	15	10	5	10	6	9	6	8
b0448	14	18	22	14	15	16	16	13	14
b0449	9	12	12	13	16	8	11	8	15
b0450	1	0	3	1	0	0	1	0	0
b0451	10	8	13	9	7	4	11	5	3
b0452	61	47	44	47	27	51	49	37	44
b0453	333	342	302	328	414	288	360	260	282
b0454	10	11	13	15	11	16	9	9	16
b0455	59	51	64	53	25	18	50	158	78
b0456	16	13	11	16	11	13	17	16	14
b0457	52	44	29	32	38	30	43	29	30
b0458	14	21	19	56	34	32	60	23	43
b0459	18	23	16	15	18	18	24	15	17
b0460	92	67	62	82	58	62	124	53	67
b0461	105	82	66	69	66	58	114	63	55
b0462	255	219	353	254	319	234	155	149	256
b0463	136	147	148	153	218	166	180	100	186
b0464	40	30	23	41	37	26	37	14	21
b0465	112	113	107	128	133	112	135	72	140
b0466	0	3	0	3	0	3	3	1	4
b0467	9	11	14	13	19	6	10	7	10
b0468	35	34	48	46	54	50	58	21	71
b0469	61	92	113	116	128	91	97	60	116
b0470	55	64	66	47	51	46	52	36	69
b0471	57	65	66	61	52	47	58	41	78
b0472	39	54	49	27	30	32	16	43	61
b0473	63	102	96	62	212	127	231	105	164
b0474	161	133	198	151	197	140	94	86	205
b0475	20	17	15	14	16	16	16	17	19
b0476	5	11	3	7	7	11	11	5	4
b0477	33	62	56	43	62	52	39	37	56
b0478	27	27	25	24	44	32	34	22	43
b0479	14	14	5	15	16	18	20	7	12
b0480	80	100	126	116	89	104	64	67	86
b0481	34	39	35	40	34	38	26	20	31
b0482	16	22	17	18	12	18	19	17	11
b0483	48	61	53	114	80	94	96	62	65
b0484	322	233	303	363	75	54	100	140	87
b0485	28	27	18	9	25	11	4	13	11
b0486	37	31	16	19	21	14	9	10	19
b0487	22	25	35	27	31	25	22	26	24
b0488	10	10	10	10	12	14	3	7	15
b0489	28	31	35	24	33	28	28	27	37
b0490	13	22	28	25	19	19	23	12	24
b0491	12	17	12	13	17	11	12	6	16
b0492	66	92	81	77	66	86	64	56	86
b0493	21	19	30	40	28	41	23	16	28
b0494	22	23	35	39	33	37	24	19	27
b0495	3	8	4	9	12	4	7	4	3
b0496	11	11	8	12	9	12	16	12	10
b0497	5	9	5	12	8	16	9	9	10
b0498	3	3	1	2	1	6	4	1	0
b0499	1	5	2	2	1	1	1	2	1
b0501	1	1	0	0	1	0	0	0	1
b0502	9	8	5	14	10	20	11	11	6
b0503	9	7	11	6	11	4	5	4	9
b0504	2	3	3	3	2	1	3	1	0
b0505	1	3	1	6	1	3	6	4	2
b0506	117	178	113	176	198	175	200	142	131
b0507	9	6	5	6	10	2	10	5	7
b0508	0	1	0	4	2	3	1	0	2
b0509	0	4	2	2	5	2	5	0	1
b0511	0	4	0	1	1	4	2	2	2
b0512	6	7	4	6	5	4	4	4	2
b0513	0	5	3	4	8	4	3	2	5
b0514	4	3	8	3	2	1	2	1	1
b0515	28	32	25	46	48	39	27	8	22
b0516	12	8	9	18	16	13	16	7	15
b0517	1	2	1	1	1	1	2	0	1
b0518	1	2	0	3	1	2	2	0	0
b0520	0	1	0	1	0	1	1	2	0
b0521	1	1	4	0	2	2	2	1	0
b0522	31	41	43	35	35	34	31	30	42
b0523	18	34	34	24	33	19	14	21	31
b0524	19	28	25	16	35	21	21	17	31
b0525	611	763	921	1255	866	847	1321	616	785
b0526	104	140	155	95	137	141	97	76	140
b0527	1	1	0	1	2	2	4	6	4
b0528	17	8	12	7	13	11	6	10	15
b0529	95	95	141	78	124	90	85	63	127
b0530	5	11	5	4	4	3	3	4	1
b0531	2	2	1	0	1	0	3	1	2
b0532	1	5	5	5	4	2	2	2	2
b0533	1	0	0	0	0	1	0	2	0
b0534	0	0	2	1	0	0	2	0	0
b0535	0	1	0	2	1	0	1	0	0
b0536	2	2	2	3	7	7	4	3	4
b0537	20	40	25	40	58	45	40	27	35
b0539	0	0	0	0	1	3	2	1	1
b0540	3	3	3	3	1	5	2	3	5
b0541	3	5	6	8	8	4	4	4	5
b0542	0	3	3	5	2	5	3	3	1
b0543	2	4	4	5	0	5	13	5	4
b0544	2	2	0	0	4	2	2	1	0
b0545	8	7	4	6	10	13	10	8	4
b0546	16	31	19	31	31	23	37	22	15
b0547	1	1	0	0	0	0	2	1	0
b0548	0	0	0	0	0	0	0	0	0
b0549	0	0	0	0	0	1	0	0	0
b0550	0	0	1	1	1	0	0	1	0
b0551	0	0	1	2	0	3	1	1	0
b0552	4	6	5	5	6	8	9	6	5
b0553	97	153	198	236	304	275	208	82	196
b0554	0	1	1	0	1	1	3	1	0
b0555	2	6	2	10	4	3	3	1	4
b0556	3	3	3	3	4	2	0	2	2
b0557	8	22	9	19	42	22	11	10	15
b0558	0	0	0	1	0	0	0	0	0
b0559	0	1	2	1	3	2	2	2	0
b0560	0	2	2	0	1	2	5	1	0
b0561	0	0	2	3	2	0	0	0	0
b0562	4	5	10	6	4	9	11	4	3
b0563	0	0	0	0	0	3	0	4	0
b0564	9	13	12	5	16	22	41	9	18
b0565	2044	3082	2411	1291	2365	1404	1648	1667	1835
b0566	2	4	4	2	5	5	4	4	3
b0567	4	7	4	4	7	2	5	2	5
b0568	11	15	9	9	22	11	10	7	10
b0569	10	17	9	11	9	6	11	10	6
b0570	14	10	14	20	18	22	21	10	25
b0571	15	16	8	7	14	15	22	8	14
b0572	1	3	3	2	26	12	53	4	18
b0573	0	0	1	0	8	13	15	1	8
b0574	1	2	2	1	13	4	10	5	12
b0575	5	12	6	6	11	14	16	5	8
b0576	18	21	14	22	29	27	19	14	17
b0577	33	44	47	64	72	62	67	44	49
b0578	71	73	115	95	128	121	111	82	118
b0579	12	17	14	12	22	13	16	12	11
b0580	14	10	8	11	11	18	11	4	14
b0581	95	89	73	50	46	45	58	52	56
b0582	27	30	28	34	37	49	31	25	30
b0583	18	35	49	45	48	54	44	20	52
b0584	477	743	770	520	791	802	412	557	919
b0585	166	209	204	179	215	186	130	129	236
b0586	408	529	542	413	603	451	358	344	710
b0587	5	2	7	6	4	5	3	2	10
b0588	42	26	48	35	47	34	28	31	45
b0589	8	25	21	11	16	17	16	9	20
b0590	14	13	18	13	18	12	19	18	16
b0591	14	20	20	23	23	26	20	10	36
b0592	30	41	43	55	50	56	53	25	51
b0593	115	233	232	154	241	180	110	110	268
b0594	160	285	288	150	259	163	107	143	274
b0595	115	168	174	62	151	129	74	88	202
b0596	64	82	103	39	62	54	29	30	86
b0597	36	66	64	32	77	52	30	35	79
b0598	26	32	48	54	56	70	28	29	48
b0599	27	49	19	31	42	23	53	46	32
b0600	54	90	26	49	65	65	123	112	36
b0601	14	11	9	8	16	18	19	15	8
b0602	4	4	1	6	6	5	7	4	4
b0603	7	0	2	2	3	0	2	1	0
b0604	25	23	37	33	46	35	30	18	34
b0605	1452	1900	2098	1723	2040	1876	1482	1173	1718
b0606	229	280	250	278	304	271	223	133	232
b0607	27	30	31	17	21	12	11	13	28
b0608	66	57	29	24	15	28	31	52	18
b0610	24	33	29	25	31	30	18	22	41
b0611	54	71	69	78	98	67	90	53	72
b0612	4	9	1	5	4	1	7	3	4
b0613	1	1	0	1	2	5	0	3	0
b0614	0	0	0	0	0	0	1	0	0
b0615	0	3	0	2	1	2	1	0	0
b0616	0	0	1	1	0	1	3	1	1
b0617	0	0	0	0	1	1	0	0	0
b0618	0	2	0	1	1	0	5	1	2
b0619	7	12	10	8	9	9	10	5	5
b0620	4	9	5	9	6	6	3	6	6
b0621	2	6	5	2	3	8	9	0	4
b0622	4	4	0	3	8	8	5	4	6
b0623	491	340	472	1400	443	533	933	423	442
b0624	6	11	11	21	8	8	24	4	15
b0627	17	21	32	39	30	22	23	17	24
b0628	92	117	96	151	202	190	281	117	209
b0629	3	3	3	8	13	6	12	3	6
b0630	30	34	42	28	49	24	43	38	43
b0631	67	55	50	164	83	94	153	80	81
b0632	146	152	181	240	244	197	214	119	206
b0633	58	69	76	88	83	83	87	51	86
b0634	31	26	41	40	40	45	38	22	45
b0635	39	43	57	34	50	33	28	29	55
b0636	19	18	21	10	20	16	23	19	25
b0637	29	42	43	30	41	47	33	22	54
b0638	8	6	13	8	8	11	7	7	14
b0639	31	33	41	33	29	37	22	25	23
b0640	42	56	71	63	43	71	65	26	64
b0641	72	77	90	104	104	89	104	58	88
b0642	497	519	463	554	580	442	445	372	561
b0643	129	109	122	79	113	61	61	61	81
b0644	14	24	24	18	22	8	18	10	19
b0645	0	4	0	0	2	1	2	2	1
b0646	2	3	0	6	4	11	13	3	1
b0647	0	0	2	3	2	5	3	2	3
b0648	2	1	2	1	1	2	2	2	1
b0649	5	12	5	8	10	7	10	2	6
b0650	3	4	7	2	5	7	8	2	5
b0651	14	11	15	10	14	13	8	5	15
b0652	26	20	34	26	40	28	32	9	30
b0653	16	14	20	20	30	10	11	9	22
b0654	11	9	24	9	19	16	16	5	29
b0655	323	282	388	464	561	431	408	228	443
b0656	29	23	24	29	34	26	28	22	34
b0657	41	47	50	49	48	53	40	27	63
b0658	180	180	183	254	203	206	193	142	194
